INFO - fast_ddpm_main.py - 2024-12-08 10:03:41,944 - Using device: cuda
INFO - distributed_c10d.py - 2024-12-08 10:03:43,808 - Added key: store_based_barrier_key:1 to store for rank: 0
INFO - distributed_c10d.py - 2024-12-08 10:03:43,808 - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 4 nodes.
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Writing log file to exp/logs/Fast-DDPM_experiments
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Exp instance id = 12815
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Exp comment = 
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Initialized distributed training: rank 0/4
INFO - diffusion.py - 2024-12-08 10:10:33,129 - step: 135, loss: 25444.7421875
INFO - diffusion.py - 2024-12-08 10:10:35,205 - step: 136, loss: 26230.41015625
INFO - diffusion.py - 2024-12-08 10:10:37,314 - step: 137, loss: 13558.296875
INFO - diffusion.py - 2024-12-08 10:10:39,462 - step: 138, loss: 13790.490234375
INFO - diffusion.py - 2024-12-08 10:10:41,441 - step: 139, loss: 26018.177734375
INFO - diffusion.py - 2024-12-08 10:10:43,401 - step: 140, loss: 1391.069091796875
INFO - diffusion.py - 2024-12-08 10:10:45,349 - step: 141, loss: 13413.8544921875
INFO - diffusion.py - 2024-12-08 10:10:47,377 - step: 142, loss: 13344.91796875
INFO - diffusion.py - 2024-12-08 10:10:49,435 - step: 143, loss: 1719.68505859375
INFO - diffusion.py - 2024-12-08 10:10:51,313 - step: 144, loss: 13765.2021484375
INFO - diffusion.py - 2024-12-08 10:10:53,262 - step: 145, loss: 1431.04736328125
INFO - diffusion.py - 2024-12-08 10:10:55,210 - step: 146, loss: 1917.4559326171875
INFO - diffusion.py - 2024-12-08 10:10:57,457 - step: 147, loss: 13584.30078125
INFO - diffusion.py - 2024-12-08 10:10:59,493 - step: 148, loss: 25421.57421875
INFO - diffusion.py - 2024-12-08 10:11:01,413 - step: 149, loss: 2008.287841796875
INFO - diffusion.py - 2024-12-08 10:11:03,402 - step: 150, loss: 13668.998046875
INFO - diffusion.py - 2024-12-08 10:11:05,491 - step: 151, loss: 13307.4443359375
INFO - diffusion.py - 2024-12-08 10:11:07,669 - step: 152, loss: 1478.82568359375
INFO - diffusion.py - 2024-12-08 10:11:09,771 - step: 153, loss: 2166.10205078125
INFO - diffusion.py - 2024-12-08 10:11:11,826 - step: 154, loss: 1480.630859375
INFO - diffusion.py - 2024-12-08 10:11:13,846 - step: 155, loss: 1309.177001953125
INFO - diffusion.py - 2024-12-08 10:11:15,881 - step: 156, loss: 1325.146240234375
INFO - diffusion.py - 2024-12-08 10:11:17,980 - step: 157, loss: 1217.828857421875
INFO - diffusion.py - 2024-12-08 10:11:19,898 - step: 158, loss: 1511.7459716796875
INFO - diffusion.py - 2024-12-08 10:11:21,915 - step: 159, loss: 13189.984375
INFO - diffusion.py - 2024-12-08 10:11:23,974 - step: 160, loss: 37822.9921875
INFO - diffusion.py - 2024-12-08 10:11:25,954 - step: 161, loss: 1286.844482421875
INFO - diffusion.py - 2024-12-08 10:11:28,061 - step: 162, loss: 1259.91552734375
INFO - diffusion.py - 2024-12-08 10:11:30,097 - step: 163, loss: 26012.123046875
INFO - diffusion.py - 2024-12-08 10:11:32,119 - step: 164, loss: 1193.496826171875
INFO - diffusion.py - 2024-12-08 10:11:34,151 - step: 165, loss: 1203.15673828125
INFO - diffusion.py - 2024-12-08 10:11:36,175 - step: 166, loss: 13152.6123046875
INFO - diffusion.py - 2024-12-08 10:11:38,222 - step: 167, loss: 13188.7470703125
INFO - diffusion.py - 2024-12-08 10:11:40,261 - step: 168, loss: 13988.755859375
INFO - diffusion.py - 2024-12-08 10:11:42,173 - step: 169, loss: 13613.7421875
INFO - diffusion.py - 2024-12-08 10:11:44,015 - step: 170, loss: 1129.5830078125
INFO - diffusion.py - 2024-12-08 10:11:46,118 - step: 171, loss: 13583.7041015625
INFO - diffusion.py - 2024-12-08 10:11:48,159 - step: 172, loss: 1388.16748046875
INFO - diffusion.py - 2024-12-08 10:11:50,083 - step: 173, loss: 13020.150390625
INFO - diffusion.py - 2024-12-08 10:11:52,017 - step: 174, loss: 13653.0634765625
INFO - diffusion.py - 2024-12-08 10:11:54,065 - step: 175, loss: 1503.968017578125
INFO - diffusion.py - 2024-12-08 10:11:56,193 - step: 176, loss: 25764.3984375
INFO - diffusion.py - 2024-12-08 10:11:58,265 - step: 177, loss: 13972.8681640625
INFO - diffusion.py - 2024-12-08 10:12:00,551 - step: 178, loss: 26100.619140625
